route_id,operator_id,is_primary
R2276770,OP027,True
R2276999,OP020,True
R2277212,OP011,True
R2282031,OP020,True
R2282101,OP002,True
R2294107,OP014,True
R2295734,OP012,True
R2295768,OP014,True
R2295902,OP021,True
R2295903,OP021,True
R2295941,OP021,True
R2295942,OP021,True
R2301205,OP013,True
R2301306,OP007,True
R2301357,OP019,True
R2301358,OP019,True
R2307657,OP029,True
R2909799,OP003,True
R2975649,OP007,True
R2988809,OP017,True
R2988810,OP012,True
R2988835,OP004,True
R2988836,OP004,True
R2988890,OP003,True
R2988891,OP024,True
R2988893,OP003,True
R2988930,OP003,True
R2988983,OP005,True
R2988993,OP006,True
R2989012,OP025,True
R2989021,OP028,True
R2989036,OP002,True
R2989074,OP017,True
R2989075,OP002,True
R3020174,OP015,True
R3020244,OP015,True
R3068536,OP014,True
R3070257,OP011,True
R3070262,OP018,True
R3070344,OP004,True
R3071402,OP002,True
R3071562,OP016,True
R3074202,OP007,True
R3101629,OP009,True
R3102120,OP014,True
R3102319,OP014,True
R3102605,OP016,True
R3020212,OP020,True
R3020213,OP020,True
R3020231,OP020,True
R3028077,OP010,True
R3072924,OP023,True
R3102124,OP012,True
R3102124,OP022,False
R-SAJHA-01,OP008,True
R-SAJHA-02,OP008,True
R-SAJHA-03,OP008,True
R-SAJHA-04,OP008,True
R-SAJHA-05,OP008,True
R-SAJHA-06,OP008,True
R-SAJHA-07,OP008,True
R-SAJHA-08,OP008,True
R2294152,OP014,True
R2302674,OP011,True
R2988806,OP003,True
R3014451,OP003,True
R3283810,OP004,True
R3214592,OP011,True
R3203278,OP007,True
R3297196,OP021,True
R3236048,OP011,True
R3232098,OP016,True
R3229256,OP004,True
R3218289,OP002,True
R3296530,OP016,True
R3213434,OP016,True
R3288696,OP009,True
R3297080,OP020,True
R3271482,OP009,True
R3211395,OP003,True
R3277397,OP003,True
R3255302,OP026,True
R3204165,OP027,True
R3342445,OP007,True
R3319772,OP020,True
R3351750,OP002,True
R-NY-03,OP007,True
R-NY-04,OP007,True
R-NY-05,OP007,True
R-NY-06,OP007,True
R-NY-07,OP007,True
