route_id,stop_id,sequence_no
R-NY-03,S0372,1
R-NY-03,S0159,2
R-NY-03,S0107,3
R-NY-03,S0185,4
R-NY-03,S0056,5
R-NY-03,S0276,6
R-NY-03,S0023,7
R-NY-03,S0214,8
R-NY-03,S0103,9
R-NY-03,S0234,10
R-NY-03,S0063,11
R-NY-03,S0185,12
R-NY-03,S0107,13
R-NY-03,S0159,14
R-NY-03,S0372,15
R-NY-04,S0373,1
R-NY-04,S0374,2
R-NY-04,S0375,3
R-NY-04,S0376,4
R-NY-04,S0377,5
R-NY-04,S0378,6
R-NY-04,S0159,7
R-NY-04,S0107,8
R-NY-04,S0029,9
R-NY-04,S0127,10
R-NY-04,S0033,11
R-NY-04,S0066,12
R-NY-04,S0031,13
R-NY-04,S0005,14
R-NY-05,S0383,1
R-NY-05,S0384,2
R-NY-05,S0159,3
R-NY-05,S0107,4
R-NY-05,S0185,5
R-NY-05,S0056,6
R-NY-05,S0276,7
R-NY-05,S0023,8
R-NY-05,S0233,9
R-NY-06,S0134,1
R-NY-06,S0030,2
R-NY-06,S0337,3
R-NY-06,S0068,4
R-NY-06,S0123,5
R-NY-06,S0005,6
R-NY-06,S0196,7
R-NY-06,S0209,8
R-NY-06,S0379,9
R-NY-06,S0108,10
R-NY-06,S0107,11
R-NY-06,S0024,12
R-NY-07,S0134,1
R-NY-07,S0217,2
R-NY-07,S0030,3
R-NY-07,S0102,4
R-NY-07,S0382,5
R-NY-07,S0196,6
R-NY-07,S0209,7
R-NY-07,S0379,8
R-NY-07,S0108,9
R-NY-07,S0107,10
R-SAJHA-01,S0112,1
R-SAJHA-01,S0213,2
R-SAJHA-01,S0103,3
R-SAJHA-01,S0234,4
R-SAJHA-01,S0237,5
R-SAJHA-01,S0063,6
R-SAJHA-01,S0056,7
R-SAJHA-01,S0236,8
R-SAJHA-01,S0152,9
R-SAJHA-01,S0087,10
R-SAJHA-01,S0149,11
R-SAJHA-01,S0082,12
R-SAJHA-01,S0241,13
R-SAJHA-01,S0124,14
R-SAJHA-01,S0044,15
R-SAJHA-01,S0065,16
R-SAJHA-01,S0187,17
R-SAJHA-01,S0169,18
R-SAJHA-01,S0252,19
R-SAJHA-02,S0112,1
R-SAJHA-02,S0213,2
R-SAJHA-02,S0103,3
R-SAJHA-02,S0234,4
R-SAJHA-02,S0237,5
R-SAJHA-02,S0063,6
R-SAJHA-02,S0056,7
R-SAJHA-02,S0236,8
R-SAJHA-02,S0152,9
R-SAJHA-02,S0087,10
R-SAJHA-02,S0149,11
R-SAJHA-02,S0082,12
R-SAJHA-02,S0241,13
R-SAJHA-02,S0124,14
R-SAJHA-02,S0044,15
R-SAJHA-02,S0238,16
R-SAJHA-02,S0260,17
R-SAJHA-02,S0231,18
R-SAJHA-02,S0268,19
R-SAJHA-02,S0255,20
R-SAJHA-02,S0249,21
R-SAJHA-02,S0038,22
R-SAJHA-02,S0096,23
R-SAJHA-03,S0239,1
R-SAJHA-03,S0267,2
R-SAJHA-03,S0272,3
R-SAJHA-03,S0245,4
R-SAJHA-03,S0253,5
R-SAJHA-03,S0254,6
R-SAJHA-03,S0138,7
R-SAJHA-03,S0011,8
R-SAJHA-03,S0112,9
R-SAJHA-03,S0213,10
R-SAJHA-03,S0103,11
R-SAJHA-03,S0234,12
R-SAJHA-03,S0237,13
R-SAJHA-03,S0063,14
R-SAJHA-03,S0056,15
R-SAJHA-03,S0236,16
R-SAJHA-03,S0013,17
R-SAJHA-04,S0200,1
R-SAJHA-04,S0273,2
R-SAJHA-04,S0104,3
R-SAJHA-04,S0264,4
R-SAJHA-04,S0274,5
R-SAJHA-04,S0256,6
R-SAJHA-04,S0262,7
R-SAJHA-04,S0257,8
R-SAJHA-04,S0020,9
R-SAJHA-04,S0011,10
R-SAJHA-04,S0112,11
R-SAJHA-04,S0103,12
R-SAJHA-04,S0234,13
R-SAJHA-04,S0237,14
R-SAJHA-04,S0063,15
R-SAJHA-04,S0056,16
R-SAJHA-04,S0236,17
R-SAJHA-04,S0152,18
R-SAJHA-04,S0149,19
R-SAJHA-04,S0087,20
R-SAJHA-04,S0013,21
R-SAJHA-05,S0010,1
R-SAJHA-05,S0270,2
R-SAJHA-05,S0119,3
R-SAJHA-05,S0266,4
R-SAJHA-05,S0192,5
R-SAJHA-05,S0275,6
R-SAJHA-05,S0130,7
R-SAJHA-05,S0263,8
R-SAJHA-05,S0271,9
R-SAJHA-05,S0023,10
R-SAJHA-05,S0276,11
R-SAJHA-05,S0056,12
R-SAJHA-05,S0278,13
R-SAJHA-05,S0013,14
R-SAJHA-05,S0036,15
R-SAJHA-05,S0097,16
R-SAJHA-05,S0033,17
R-SAJHA-05,S0259,18
R-SAJHA-05,S0017,19
R-SAJHA-05,S0139,20
R-SAJHA-05,S0240,21
R-SAJHA-06,S0010,1
R-SAJHA-06,S0270,2
R-SAJHA-06,S0119,3
R-SAJHA-06,S0266,4
R-SAJHA-06,S0192,5
R-SAJHA-06,S0130,6
R-SAJHA-06,S0246,7
R-SAJHA-06,S0090,8
R-SAJHA-06,S0211,9
R-SAJHA-06,S0212,10
R-SAJHA-06,S0113,11
R-SAJHA-06,S0187,12
R-SAJHA-06,S0065,13
R-SAJHA-06,S0044,14
R-SAJHA-06,S0238,15
R-SAJHA-06,S0260,16
R-SAJHA-06,S0231,17
R-SAJHA-06,S0255,18
R-SAJHA-06,S0038,19
R-SAJHA-06,S0096,20
R-SAJHA-07,S0243,1
R-SAJHA-07,S0269,2
R-SAJHA-07,S0279,3
R-SAJHA-07,S0261,4
R-SAJHA-07,S0216,5
R-SAJHA-07,S0244,6
R-SAJHA-07,S0250,7
R-SAJHA-07,S0138,8
R-SAJHA-07,S0248,9
R-SAJHA-07,S0112,10
R-SAJHA-07,S0213,11
R-SAJHA-07,S0103,12
R-SAJHA-07,S0234,13
R-SAJHA-07,S0237,14
R-SAJHA-07,S0063,15
