route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2276770,Purano Bus Park-Thimi,10,microbus,public,Madhyapur Thimi Yatayat,S0198,S0021,21,11.91,66,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP027,True,OP027,False,10.354,1.168,8.92,True,active,False,True
R2276999,Shobhabhagwati-Koteshwore,Annapurna A,tempo,public,Samyukta Yatayat,S0003,S0107,19,10.33,52,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,8.986,1.35,8.26,True,pending_release,False,True
R2277212,Koteshwor - Ratna Park,annapurna B,tempo,public,Digo Yatayat,S0198,S0107,14,8.88,43,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP011,True,OP011,False,7.719,1.35,6.99,True,active,True,True
R2282031,Ratna Park - Kirtipur,21,"bus, microbus",public,Samyukta Yatayat,S0198,S0041,16,8.16,50,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,8.5,1.796,8.16,False,active,False,True
R2282101,Ratna Park - Sundarijal,2,bus,public,Gokarneshwor Yatayat,S0040,S0198,18,13.45,74,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP002,True,OP002,False,14.037,3.412,13.45,False,active,True,True
R2294107,Ratna Park-Gwarko,14,tempo,public,Bagmati Yatayat,S0020,S0013,19,5.94,44,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP014,True,OP014,False,6.093,0.851,5.94,False,active,False,True
R2295768,Ratnapark-Mangal Bazaar,14,tempo,public,Bagmati Yatayat,S0013,S0154,15,4.77,35,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP014,True,OP014,False,4.768,0.851,4.77,False,active,False,True
R2295902,KattyaniChowk-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0006,15,4.56,34,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP021,True,OP021,False,4.557,0.583,4.56,False,active,False,True
R2295941,Old Baneshwar-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0205,14,3.92,31,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP021,True,OP021,False,3.922,0.583,3.92,False,active,False,True
R2295942,Sundhara-Purano Baneshwar,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0077,18,5.27,41,06:00:00,20:00:00,15,distance_based,False,False,pending_release,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP021,True,OP021,False,5.266,0.583,5.27,False,active,True,True
