stop_id,stop_name,aliases,lat,lng,zone,district,ward,is_major_stop,landmark,has_shelter,has_ticket_counter,is_interchange,wheelchair_access,audio_support,status,unverified_fields,created_at,updated_at,geo_out_of_bounds,Unnamed: 20,Unnamed: 21,Unnamed: 22
S0002,Kapan Stop,,27.729418,85.354064,Budhanilakantha,KATHMANDU,7,False,Kapan Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0003,Shobhabhagwati,,27.718204,85.312138,Kathmandu,KATHMANDU,20,False,Shobhabhagwati Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0004,Kaushaltar,,27.674541,85.364349,Madhyapur Thimi,BHAKTAPUR,29,True,Kaushaltar Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0005,Putalisadak Stop,,27.70569,85.322552,Kathmandu,KATHMANDU,15,True,Putalisadak Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0006,KattyaniChowk Stop,,27.695366,85.344466,Kathmandu,KATHMANDU,11,False,KattyaniChowk Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0007,Chardobato,,27.673553,85.381717,Madhyapur Thimi,BHAKTAPUR,8,True,Chardobato Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0008,Sataungal,,27.686988,85.2506,Chandragiri,KATHMANDU,29,False,Sataungal Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0010,Thankot,,27.706627,85.20574,Chandragiri,KATHMANDU,21,False,Thankot Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0011,Satdobato Chowk Stop,,27.6656,85.3283,Lalitpur,LALITPUR,7,True,Satdobato Chowk Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0013,Ratna Park,,27.706705,85.315249,Kathmandu,KATHMANDU,19,True,Ratna Park Chowk / Junction,False,False,True,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0014,Sallaghari North,,27.674055,85.409969,Bhaktapur,BHAKTAPUR,23,True,Sallaghari Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0015,Hanumanthan Stop,,27.693522,85.327603,Kathmandu,KATHMANDU,11,True,Hanumanthan Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0016,Bhimsengola stop,,27.700377,85.343256,Kathmandu,KATHMANDU,11,False,Bhimsengola stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0017,Tinkune Stop,,27.683552,85.349050,Kathmandu,KATHMANDU,24,True,Tinkune Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0018,Sankhamul Stop,,27.681128,85.331587,Lalitpur,LALITPUR,21,False,Sankhamul Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0020,Gwarko Chowk Stop,,27.6705,85.334,Lalitpur,LALITPUR,4,True,Gwarko Chowk Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0022,Lokanthali North,,27.674829,85.359862,Madhyapur Thimi,BHAKTAPUR,24,True,Lokanthali Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
