route_id,stop_id,sequence_no,stop_name
R-NY-03,S0372,1,Pepsicola
R-NY-03,S0159,2,Jadibuti
R-NY-03,S0107,3,Koteshwor
R-NY-03,TBD-CHOOSE,4,New Baneshwor
R-NY-03,S0185,5,Thapathali
R-NY-03,S0056,6,Tripureshwor
R-NY-03,S0276,7,Teku
R-NY-03,S0023,8,Kalimati
R-NY-03,TBD-CHOOSE,9,Balkhu
R-NY-03,TBD-CHOOSE,10,Sanepa
R-NY-03,S0214,11,Ekantakuna
R-NY-03,S0103,12,Jawalakhel
R-NY-03,S0234,13,Pulchowk
R-NY-03,S0063,14,Kupondole
R-NY-03,S0185,15,Thapathali
R-NY-03,TBD-CHOOSE,16,Maitighar
R-NY-03,TBD-CHOOSE,17,New Baneshwor
R-NY-03,S0107,18,Koteshwor
R-NY-03,S0159,19,Jadibuti
R-NY-03,S0372,20,Pepsicola
R-NY-04,S0373,1,Babachowk
R-NY-04,S0374,2,Gothatar Height/Tarigaon
R-NY-04,S0375,3,Gothatar Chowk
R-NY-04,S0376,4,Gothatar School
R-NY-04,S0377,5,Khahare
R-NY-04,S0378,6,Khahare Chowk
R-NY-04,S0159,7,Jadibuti
R-NY-04,S0107,8,Koteshwor
R-NY-04,TBD-CHOOSE,9,Tinkune
R-NY-04,S0029,10,Minbhawan
R-NY-04,S0127,11,Shantinagar
R-NY-04,TBD-CHOOSE,12,New Baneshwor
R-NY-04,S0033,13,Bijulibazar
R-NY-04,TBD-CHOOSE,14,Babarmahal
R-NY-04,TBD-CHOOSE,15,Maitighar
R-NY-04,TBD-CHOOSE,16,Singha Durbar
R-NY-04,TBD-CHOOSE,17,Anamnagar/Hanumansthan
R-NY-04,S0066,18,Padmodaya/Pradarshani Marg
R-NY-04,S0031,19,Bagbazar
R-NY-04,S0005,20,Putalisadak
R-NY-05,S0383,1,Harharmahadev
R-NY-05,S0384,2,Kandaghari
R-NY-05,S0159,3,Jadibuti
R-NY-05,S0107,4,Koteshwor Stop
R-NY-05,S0185,5,Thapathali
R-NY-05,S0056,6,Tripureshwor
R-NY-05,S0276,7,Tek (Teku)
R-NY-05,S0023,8,Kalimati
R-NY-05,S0233,9,Balkhu Stop
R-NY-06,S0134,1,Gopi Krishna Stop
R-NY-06,S0030,2,Chakrapath Stop-- South
R-NY-06,S0337,3,Maharajgunj Chowk
R-NY-06,S0068,4,Baluwatar
R-NY-06,S0123,5,Naxal Bhagwati
R-NY-06,S0005,6,Putalisadak Stop
R-NY-06,S0196,7,Anamnagar Stop
R-NY-06,S0209,8,Singha Durbar East Stop
R-NY-06,S0379,9,Hanumansthan
R-NY-06,S0108,10,Thapagaun Stop
R-NY-06,S0107,11,Koteshwor Stop
R-NY-06,S0024,12,Balkumari Stop
R-NY-07,S0134,1,Gopi Krishna
R-NY-07,S0217,2,Sukedhara
R-NY-07,S0030,3,Chakrapath South
R-NY-07,S0102,4,New Plaza
R-NY-07,S0382,5,Baidya Khana
R-NY-07,S0196,6,Anamnagar
R-NY-07,S0209,7,Singha Durbar East Gate
R-NY-07,S0379,8,Hanumansthan
R-NY-07,S0108,9,Thapagaun
R-NY-07,TBD-CHOOSE,10,New Baneshwor
R-NY-07,TBD-CHOOSE,11,Tinkune
R-NY-07,S0107,12,Koteshwor
R-SAJHA-01,S0112,1,Lagankhel Stop
R-SAJHA-01,S0213,2,Kumaripati
R-SAJHA-01,S0175,3,Jawalakhel
R-SAJHA-01,S0234,4,Pulchowk
R-SAJHA-01,S0237,5,Harihar Bhawan
R-SAJHA-01,S0235,6,Kupandol
R-SAJHA-01,S0056,7,Tripureshwor
R-SAJHA-01,S0236,8,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-01,S0152,9,Jamal
R-SAJHA-01,S0087,10,Lainchaur stop
R-SAJHA-01,S0149,11,Lazimpat stop
R-SAJHA-01,S0082,12,Panipokhari stop
R-SAJHA-01,S0241,13,"President's Residence (Sheetal Niwas, Maharajgunj)"
R-SAJHA-01,S0124,14,Teaching Hospital stop
R-SAJHA-01,S0044,15,Narayan Gopal Chowk
R-SAJHA-01,S0065,16,Basundhara
R-SAJHA-01,S0187,17,Samakhusi Stop
R-SAJHA-01,S0169,18,Gongabu Chowk
R-SAJHA-01,S0252,19,Gongabu Bus Park
R-SAJHA-02,S0112,1,Lagankhel Stop
R-SAJHA-02,S0213,2,Kumaripati
R-SAJHA-02,S0175,3,Jawalakhel
R-SAJHA-02,S0234,4,Pulchowk
R-SAJHA-02,S0237,5,Harihar Bhawan
R-SAJHA-02,S0235,6,Kupandol
R-SAJHA-02,S0056,7,Tripureshwor
R-SAJHA-02,S0236,8,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-02,S0152,9,Jamal
R-SAJHA-02,S0087,10,Lainchaur stop
R-SAJHA-02,S0149,11,Lazimpat stop
R-SAJHA-02,S0082,12,Panipokhari stop
R-SAJHA-02,S0241,13,"President's Residence (Sheetal Niwas, Maharajgunj)"
R-SAJHA-02,S0124,14,Teaching Hospital stop
R-SAJHA-02,S0044,15,Narayan Gopal Chowk
R-SAJHA-02,S0238,16,Gangalal Hospital (Shahid Gangalal National Heart Centre)
R-SAJHA-02,S0260,17,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS)
R-SAJHA-02,S0231,18,Golfutar stop
R-SAJHA-02,S0268,19,Nepal Telecom (Budhanilkantha)
R-SAJHA-02,S0255,20,Hattigauda
R-SAJHA-02,S0249,21,Chapali Bhadrakali
R-SAJHA-02,S0038,22,Deuba Chowk stop
R-SAJHA-02,S0096,23,Budhanilkantha Micro Stand
R-SAJHA-03,S0239,1,Godawari
R-SAJHA-03,S0267,2,Taukhel
R-SAJHA-03,S0272,3,Handegaun
R-SAJHA-03,S0245,4,Badegaun
R-SAJHA-03,S0253,5,Harisiddhi
R-SAJHA-03,S0254,6,Hattiban
R-SAJHA-03,S0138,7,Khumaltar Stop
R-SAJHA-03,S0011,8,Satdobato Chowk Stop
R-SAJHA-03,S0112,9,Lagankhel Stop
R-SAJHA-03,S0213,10,Kumaripati
R-SAJHA-03,S0175,11,Jawalakhel
R-SAJHA-03,S0234,12,Pulchowk
R-SAJHA-03,S0237,13,Harihar Bhawan
R-SAJHA-03,S0235,14,Kupandol
R-SAJHA-03,S0056,15,Tripureshwor
R-SAJHA-03,S0236,16,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-03,S0013,17,Ratna Park
R-SAJHA-04,S0200,1,Lamatar
R-SAJHA-04,S0273,2,Dungin
R-SAJHA-04,S0104,3,Lubhu Bus Stop
R-SAJHA-04,S0264,4,Sana Gaun Bus Stop
R-SAJHA-04,S0274,5,"Kamalpokhari (Lamatar-area, distinct from central Kathmandu Kamalpokhari)"
R-SAJHA-04,S0256,6,Imadol Krishna Mandir Road
R-SAJHA-04,S0262,7,Rata Makai Chowk
R-SAJHA-04,S0257,8,KIST Medical College Teaching Hospital
R-SAJHA-04,S0020,9,Gwarko Chowk Stop
R-SAJHA-04,S0011,10,Satdobato Chowk Stop
R-SAJHA-04,S0112,11,Lagankhel Stop
R-SAJHA-04,S0175,12,Jawalakhel
R-SAJHA-04,S0234,13,Pulchowk
R-SAJHA-04,S0237,14,Harihar Bhawan
R-SAJHA-04,S0235,15,Kupandol
R-SAJHA-04,S0056,16,Tripureshwor
R-SAJHA-04,S0236,17,"NAC (Nepal Airlines Corporation, Kantipath)"
R-SAJHA-04,S0152,18,Jamal
R-SAJHA-04,S0149,19,Lazimpat stop
R-SAJHA-04,S0087,20,Lainchaur stop
