route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2301357,Naya Baneshwor-Teaching,-,microbus,public,Tarakeshwor Yatayat,S0069,S0195,12,4.16,29.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP019,False,OP019,False,4.915,1.188,3.92,False,pending_release,False,True
R2295734,Ratna Park-Budhanilkantha School,5,microbus,public,Dhumrabaraha Yatayat,S0013,S0143,16,9.73,55.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP012,False,OP012,False,9.734,2.856,9.73,False,pending_release,False,True
R2295902,KattyaniChowk-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0006,14,4.44,34.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP021,False,OP021,False,4.995,0.583,4.56,False,active,False,True
R2988836,Thankot - Ratna Park,20,microbus,public,Chandragiri Yatayat,S0010,S0013,12,13.38,66.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP004,False,OP004,False,13.201,2.884,13.43,False,pending_release,False,True
R2301205,Purano Bus Park-Shivapuri,5,microbus,public,Basuki Yatayat,S0198,S0144,21,12.47,71.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP013,False,OP013,False,12.472,2.856,12.47,False,pending_release,False,True
R2988810,Purano Bus Park- Budhanilkantha,5,bus,public,Dhumrabaraha Yatayat,S0198,S0176,20,10.68,63.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP012,False,OP012,False,10.684,2.856,10.68,False,pending_release,False,True
R2307657,Lubhu - Lagankhel,,bus,public,Lubhu Bus Sewa Samiti,S0360,S0112,10,4.94,33.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP029,False,OP029,False,4.885,0.842,5.62,False,pending_release,False,True
R2988930,Kamal Binayak-Nagarkot,,bus,public,Bhaktapur Minibus Samiti,S0025,S0039,2,9.29,39.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP003,False,OP003,False,9.292,9.292,9.29,False,pending_release,False,True
R2975649,Purano Buspark - Chabahil,1,bus,public,Nepal Yatayat,S0198,S0044,24,11.39,80.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,12.336,1.255,11.30,False,active,False,True
R2989021,Lagankhel-Chapagaun,,bus,public,Lagankhel Chapagaun Bus Sewa,S0219,S0060,7,10.87,43.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP028,False,OP028,False,9.451,5.665,8.97,False,pending_release,False,True
R2282101,Ratna Park - Sundarijal,2,bus,public,Gokarneshwor Yatayat,S0040,S0198,15,12.94,74.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP002,False,OP002,False,13.987,3.413,13.45,False,active,True,True
R2988809,Purano Bus Park - Sakhu,4,bus,public,Panchpokhari Yatayat,S0198,S0146,25,20.00,112.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP017,False,OP017,False,20.939,3.333,19.84,False,active,False,True
