stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0002,Kapan Stop,27.729418,85.354064,27.7342051,85.3573186,621.3,MISMATCH
S0003,Shobhabhagwati,27.718204,85.312138,,,,NOT_FOUND
S0004,Kaushaltar,27.674541,85.364349,27.6744137,85.3621306,218.9,OK
S0005,Putalisadak Stop,27.70569,85.322552,27.7073922,85.3223982,189.9,OK
S0006,KattyaniChowk Stop,27.695366,85.344466,,,,NOT_FOUND
S0007,Chardobato,27.673553,85.381717,,,,NOT_FOUND
S0008,Sataungal,27.686988,85.2506,,,,NOT_FOUND
S0010,Thankot,27.706627,85.20574,27.6902884,85.2155817,2059.0,MISMATCH
S0011,Satdobato Chowk Stop,27.6656,85.3283,27.7397733,85.3809893,9743.3,MISMATCH
S0013,Ratna Park,27.706705,85.315249,27.7061564,85.3151182,62.3,OK
S0014,Sallaghari North,27.674055,85.409969,27.7020102,85.3110678,10222.1,MISMATCH
S0015,Hanumanthan Stop,27.693522,85.327603,27.694359,85.3243079,337.5,OK
S0016,Bhimsengola stop,27.700377,85.343256,27.6984859,85.343584,212.7,OK
S0017,Tinkune Stop,27.6835,85.3486,27.6852122,85.3486465,190.4,OK
S0018,Sankhamul Stop,27.681128,85.331587,27.6821125,85.3326133,149.0,OK
S0020,Gwarko Chowk Stop,27.6705,85.334,27.6636837,85.3293019,888.0,MISMATCH
S0022,Lokanthali North,27.674829,85.359862,,,,NOT_FOUND
S0023,Kalimati,27.69843,85.29944,27.7009137,85.2926558,722.8,MISMATCH
S0024,Balkumari Stop,27.6763,85.3395,27.6732928,85.342101,421.2,OK
S0025,Kamal Binayak,27.677327,85.436917,27.7059477,85.3229668,11662.0,MISMATCH
S0026,Boudha,27.72072,85.36176,27.7204977,85.3604163,134.6,OK
S0027,KMC stop,27.695834,85.352791,27.6980413,85.3132943,3896.3,MISMATCH
S0028,Babarmahal,27.692579,85.323905,27.6932347,85.3247236,108.7,OK
S0029,Minbhawan,27.6877,85.338462,27.6852473,85.3380108,276.3,OK
S0030,Chakrapath Stop-- South,27.739835,85.336915,,,,NOT_FOUND
S0031,Bagbazar Stop,27.705828,85.317204,27.705611,85.3206086,336.0,OK
S0032,Dhapakhel Stop,27.628084,85.327973,,,,NOT_FOUND
S0033,Bijulibazar Stop,27.692332,85.329615,27.6903414,85.3283208,255.4,OK
S0034,Buddhanagar Stop,27.68933,85.331039,27.6882136,85.3287354,258.6,OK
S0035,Maiti Devi chowk,27.703944,85.332682,,,,NOT_FOUND
S0036,Singha Durbar West Stop,27.69659,85.321228,,,,NOT_FOUND
S0038,Deuba Chowk stop,27.773756,85.36033,27.7748436,85.3610699,141.2,OK
S0039,Nagarkot,27.718471,85.519066,27.7277085,85.4623464,5676.6,MISMATCH
S0040,Sundarijal,27.757565,85.419394,27.758005,85.419189,52.9,OK
S0041,BishnuDevi Health Centre,27.680562,85.276439,,,,NOT_FOUND
S0042,Kamaladi Road (कमलादी) stop,27.707997,85.321282,27.7079962,85.3169267,428.8,OK
S0043,TU Gate,27.67888,85.297212,27.6787869,85.2971844,10.7,OK
S0044,Narayan Gopal Chowk,27.740022,85.337201,27.7400234,85.3370704,12.9,OK
S0045,Ratopul,27.708117,85.336428,27.7080707,85.3369182,48.5,OK
S0046,Tempo Stop Near Old Baneshwar,27.700669,85.339677,,,,NOT_FOUND
S0049,Naya Bato,27.676114,85.293897,27.6761142,85.2938967,0.0,OK
S0050,Mahalaxmi Stop,27.676102,85.433768,27.6717826,85.2846537,14691.8,MISMATCH
S0051,Tangal,27.717202,85.330449,27.7172307,85.3304488,3.2,OK
S0052,JayaBageshwari Stop,27.711989,85.344999,,,,NOT_FOUND
S0053,Gairigaun Stop,27.687275,85.35056,27.7543112,85.304863,8706.1,MISMATCH
S0054,Nikap,27.686091,85.26229,,,,NOT_FOUND
S0055,Dillibazaar stop,27.70537,85.326759,27.705992,85.3266321,70.3,OK
S0056,Tripureshwor,27.694418,85.314128,27.6926021,85.3145333,205.8,OK
S0058,Natole,27.676065,85.318202,,,,NOT_FOUND
S0059,SchEMS,27.694334,85.337154,27.6941955,85.3373394,23.9,OK
S0062,Babarmahal Stop East,27.69032,85.328762,,,,NOT_FOUND
S0063,Kupondole stop,27.688005,85.316248,,,,NOT_FOUND
S0065,Basundhara,27.7378,85.3215,27.7422381,85.3326175,1200.3,MISMATCH
S0066,Bhrikuti Mandap Stop,27.702122,85.318738,27.701661,85.3183217,65.6,OK
S0067,Shahid Gate,27.699685,85.314748,27.6995892,85.3149733,24.6,OK
