stop_id,stop_name,aliases,lat,lng,zone,district,ward,is_major_stop,landmark,has_shelter,has_ticket_counter,is_interchange,wheelchair_access,audio_support,status,unverified_fields,created_at,updated_at,geo_out_of_bounds,Unnamed: 20,Unnamed: 21,Unnamed: 22
S0002,Kapan Stop,,27.729649,85.354553,Budhanilakantha,KATHMANDU,7,False,Kapan Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0003,Shobhabhagwati,,27.718100,85.312185,Kathmandu,KATHMANDU,20,False,Shobhabhagwati Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0004,Kaushaltar,,27.674592,85.364322,Madhyapur Thimi,BHAKTAPUR,29,True,Kaushaltar Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0005,Putalisadak Stop,,27.707376,85.322401,Kathmandu,KATHMANDU,15,True,Putalisadak Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0006,KattyaniChowk Stop,,27.695366,85.344466,Kathmandu,KATHMANDU,11,False,KattyaniChowk Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0007,Chardobato,,27.673419,85.381714,Madhyapur Thimi,BHAKTAPUR,8,True,Chardobato Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0008,Sataungal,,27.686988,85.2506,Chandragiri,KATHMANDU,29,False,Sataungal Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0010,Thankot,,27.6902884,85.2155817,Chandragiri,KATHMANDU,21,False,Thankot Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0011,Satdobato Chowk Stop,,27.658710,85.324695,Lalitpur,LALITPUR,7,True,Satdobato Chowk Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0013,Ratna Park,,27.706599,85.315270,Kathmandu,KATHMANDU,19,True,Ratna Park Chowk / Junction,False,False,True,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0014,Sallaghari North,,27.674060,85.409786,Bhaktapur,BHAKTAPUR,23,True,Sallaghari Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
S0015,Hanumanthan Stop,,27.693522,85.327603,Kathmandu,KATHMANDU,11,True,Hanumanthan Stop Chowk / Junction,False,False,False,False,False,active,"ward,landmark,has_shelter,has_ticket_counter,wheelchair_access,audio_support",2026-08-03T02:39:13Z,2026-08-17T20:07:59Z,False,,,
