"route_id","route_name","vehicle_type","total_stops","approx_distance_km","verified","note"
"R3203278","Airport - Ratna Park","microbus","12","9.82","",""
"R3020244","Attrekhle-Purano Buspark","bus","25","15.87","",""
"R-NY-04","Babachowk-Putalisadak","bus","14","","",""
"R2988890","Bagbazaar-Kamalbinayak","bus","32","18.62","",""
"R3028077","Balaju-Ratnapark","microbus;tempo","10","4.07","",""
"R2301306","Balkumari-Gopi Krishna","bus","30","15.4","",""
"R3342445","Baluwatar - Naxal - Putalisadak Loop","microbus","8","5.95","",""
"R3277397","Bhaktapur - Gongabu","bus","15","22.41","",""
"R3211395","Bhaktapur - Ratna Park","bus","14","16.77","",""
"R3014451","Bhaktapur-Purano Thimi- Purano Bus Park","bus","36","32.69","",""
"R-SAJHA-08","Bungamati-Jamal","bus","13","12.28","",""
"R2988983","Chyamasingh to Ratnapark","bus","35","20.46","",""
"R3020212","Dhokashi- Chobar gate- Ratnapark","bus;microbus","13","8.45","",""
"R-SAJHA-03","Godawari-Ratnapark","bus","17","15.47","",""
"R3071402","Gokarna-Chabahil-Naya_Bus_Park-Balaju-kalanki","bus","22","17.26","",""
"R-NY-06","Gopi Krishna-Balkumari","bus","11","","",""
"R-NY-07","Gopi Krishna-Koteshwor","bus","10","","",""
"R-NY-05","Harharmahadev-Balkhu","bus","8","","",""
"R3218289","Jorpati - Ekantakuna","microbus","14","14.87","",""
"R3229256","Jorpati - Naikap","bus","17","16.31","",""
"R2989075","Jorpati - Purano Bus Park","bus","12","8.63","",""
"R3213434","Kalanki - Koteshwor","bus","21","23.99","",""
"R3068536","Kalanki- Lagankhel","bus","9","8.2","",""
"R3070257","kalanki-Balkumari","bus","18","12.02","",""
"R3070262","Kalanki-Pepsacola","bus","18","13.34","",""
"R2988930","Kamal Binayak-Nagarkot","bus","2","9.29","",""
"R2909799","Kamalbinayak-Ratnapark","bus","31","18.3","",""
"R3074202","kapan-Chabahil-Mitidevi-Ratnapark","microbus","12","7.49","",""
"R2295902","KattyaniChowk-Sundhara","tempo","16","4.56","",""
"R3070344","Kausaltar-Naikap","bus","20","15.4","",""
"R3214592","Koteshwor - Kalanki (via New Baneshwor)","microbus","13","9.4","",""
