"route_id","route_name","vehicle_type","total_stops","approx_distance_km","verified","note"
"R3296530","Koteshwor - Kalanki (via Satdobato)","bus","11","15.27","",""
"R3236048","Koteshwor - New Bus Park","microbus","14","16.31","",""
"R2277212","Koteshwor - Ratna Park","tempo","14","8.88","",""
"R3297080","Lagankhel - Balkhu","microbus","7","6.29","",""
"R3271482","Lagankhel - Koteshwor","microbus","12","8.32","",""
"R3288696","Lagankhel - Ratna Park","microbus","8","5.95","",""
"R-SAJHA-02","Lagankhel-Budhanilkantha","bus","23","25.36","",""
"R2989021","Lagankhel-Chapagaun","bus","7","10.87","",""
"R-SAJHA-01","Lagankhel-Gongabu Buspark","bus","19","16.27","",""
"R3102120","Lagankhel-Lamatar","bus","5","8.59","",""
"R3101629","Lagankhel-Satdobato-Khumaltar-Dhapakhel","microbus","8","6.37","",""
"R3102319","Lagankhel-Tika Bhairab","bus","7","12.49","",""
"R-SAJHA-04","Lamatar-Ratnapark","bus","21","20.62","",""
"R-SAJHA-07","Lele-Jamal","bus","18","19.69","",""
"R2307657","Lubhu - Lagankhel","bus","11","5.62","",""
"R3072924","Matathirtha-Naikap-Thapathali-KrishnaPauroti-Ratopul-Chabahil-kapan","bus","22","16.07","",""
"R2301161","MAV School-Purano Buspark","microbus","25","10.1","",""
"R2302674","Naikap-Koteshwor","bus","26","15.82","",""
"R3232098","Narayangopal Chowk - Satdobato","bus","16","12.24","",""
"R3351750","Narayantar - Jorpati Central Line","bus","9","8.03","",""
"R3071562","Naya Baneshwor, Koteshwor, Satdobato, Lagankhel, Jaulakhel, Kupandol, Naya Baneshwor","tempo","29","14.72","",""
"R2301357","Naya Baneshwor-Teaching","microbus","12","5.22","",""
"R3297196","New Bus Park - Ratna Park","microbus","8","6.24","",""
"R2295941","Old Baneshwar-Sundhara","tempo","15","5.632","",""
"R2988891","Panauti - Ratnapark","bus","36","36.82","",""
"R-NY-03","Pepsicola-Pepsicola (loop)","bus","15","","",""
"R2989036","Purano Bus Park - jorpati","bus","24","13.89","",""
"R2988809","Purano Bus Park - Sakhu","bus","28","24.09","",""
"R2988810","Purano Bus Park- Budhanilkantha","bus","20","10.68","",""
"R2295974","Purano Bus Park-Nakhipot","microbus","22","16.49","",""
"R2301205","Purano Bus Park-Shivapuri","microbus","21","12.47","",""
