"route_id","route_name","vehicle_type","total_stops","approx_distance_km","verified","note"
"R2276770","Purano Bus Park-Thimi","microbus","21","11.91","",""
"R2975649","Purano Buspark - Chabahil","bus","27","14.19","",""
"R3020174","Purano Buspark-Gothatar","bus","17","13.77","",""
"R2989012","Ratna Park - Daksinkali","bus","13","13.3","",""
"R2282031","Ratna Park - Kirtipur","bus;microbus","16","8.16","",""
"R3283810","Ratna Park - Naikap","microbus","11","10.18","",""
"R3020213","Ratna Park - Panga Dobato- Dhokashi","bus;microbus","15","7.72","",""
"R3020231","Ratna Park - Panga Dobato- Nagaun- Bhatkepati","bus;microbus","16","10.04","",""
"R2282101","Ratna Park - Sundarijal","bus","18","13.45","",""
"R2988835","Ratna Park - Thankot","microbus","11","10.79","",""
"R2295734","Ratna Park-Budhanilkantha School","microbus","16","9.73","",""
"R2294107","Ratna Park-Gwarko","tempo","19","5.94","",""
"R2294152","Ratna Park-Lagankhel","microbus","20","5.92","",""
"R2988993","Ratnapark - Dhulikhel","bus","37","34.94","",""
"R2988893","Ratnapark-Changu","bus","31","23.18","",""
"R2988806","Ratnapark-Dadhikot","bus","31","19.03","",""
"R2295768","Ratnapark-Mangal Bazaar","tempo","15","4.77","",""
"R3102124","RNAC-Bishalnagar-Chapal_Karkhana-Mandikhatar","microbus","14","6.73","",""
"R2989074","Sakhu - Purano Bus Park","bus","16","15.97","",""
"R2276999","Shobhabhagwati-Koteshwore","tempo","19","10.33","",""
"R2295903","Sundhara-Milanchowk-KattyaniChowk","tempo","19","5.29","",""
"R2295942","Sundhara-Purano Baneshwar","tempo","20","5.27","",""
"R2295986","Sundhara-Shankhamul","microbus","15","5.58","",""
"R3255302","Suryabinayak - Kirtipur","bus","13","21.47","",""
"R3102605","Swyambhu-Chakrapath parikrama","bus","36","25.38","",""
"R2301358","Teaching-NayaBaneshwar","microbus","16","12.94","",""
"R3319772","Thamel - Sorhakhutte Feeder","microbus","8","3.64","",""
"R2988836","Thankot - Ratna Park","microbus","11","13.43","",""
"R-SAJHA-06","Thankot-Budhanilkantha","bus","20","36.83","",""
"R-SAJHA-05","Thankot-Tribhuvan International Airport","bus","21","25.03","",""
"R3204165","Thimi - Ratna Park","microbus","12","14.65","",""
