stop_id,stop_name,lat,lng,zone,district,verified,note
S0159,Jadibuti,27.675310,85.352805,Kathmandu,KATHMANDU,,
S0022,Lokanthali North,27.674829,85.359862,Madhyapur Thimi,BHAKTAPUR,,
S0199,Byasi Stop,27.674804,85.427443,Bhaktapur,BHAKTAPUR,,
S0085,Nagaon Dobato,27.674795,85.277757,Kirtipur,KATHMANDU,,
S0084,Panga Dobato,27.674758,85.280408,Kirtipur,KATHMANDU,,
S0147,Radhe Radhe,27.674640,85.397710,Madhyapur Thimi,BHAKTAPUR,,
S0004,Kaushaltar,27.674592,85.364322,Madhyapur Thimi,BHAKTAPUR,,
S0189,Sanepa height,27.674478,85.302020,Lalitpur,LALITPUR,,
S0226,Gahabahal,27.674297,85.321046,Lalitpur,LALITPUR,,
S0014,Sallaghari North,27.674060,85.409786,Bhaktapur,BHAKTAPUR,,
S0092,Gathaghar,27.674014,85.373177,Madhyapur Thimi,BHAKTAPUR,,
S0325,Gatthaghar,27.674350,85.366859,Madhyapur Thimi,BHAKTAPUR,,
S0220,Balkumari Bridge Stop,27.672825,85.341657,Lalitpur,LALITPUR,,
S0007,Chardobato,27.673419,85.381714,Madhyapur Thimi,BHAKTAPUR,,
S0227,Mahapal,27.67355,85.32389,Lalitpur,LALITPUR,,
S0145,Chyamasingh,27.673427,85.438368,Bhaktapur,BHAKTAPUR,,
S0110,Thimi Stop,27.673400,85.386305,Madhyapur Thimi,BHAKTAPUR,,
S0202,Srijananagar,27.672644,85.405301,Suryabinayak,BHAKTAPUR,,
S0154,Mangalbazar,27.672641,85.32499,Lalitpur,LALITPUR,,
S0103,Jawlakhel Stop,27.672577,85.314174,Lalitpur,LALITPUR,,
S0098,Tinkune Bhaktapur,27.671913,85.408638,Suryabinayak,BHAKTAPUR,,
S0326,Kausaltar,27.674389,85.364316,Madhyapur Thimi,BHAKTAPUR,,
S0319,Siddhapokhari,27.671642,85.415214,Bhaktapur,BHAKTAPUR,,
S0081,Bhaktapur Hospital Stop,27.671808,85.421898,Bhaktapur,BHAKTAPUR,,
S0312,Lokanthali South,27.674711,85.359934,Madhyapur Thimi,BHAKTAPUR,,
S0161,Bhaktapur Bus Park,27.671965,85.422269,Bhaktapur,BHAKTAPUR,,
S0213,Kumaripati,27.67084,85.320098,Lalitpur,LALITPUR,,
S0009,Dhokashi,27.670661,85.279034,Kirtipur,KATHMANDU,,
S0020,Gwarko Chowk Stop,27.666615,85.332168,Lalitpur,LALITPUR,,
S0133,Saughal,27.670479,85.327219,Lalitpur,LALITPUR,,
S0073,Chobhar Gate,27.670449,85.290622,Kirtipur,KATHMANDU,,
S0095,Sallaghari Stop,27.669934,85.41116,Suryabinayak,BHAKTAPUR,,
S0366,KIST Hospital Chowk,27.6692,85.335,Lalitpur,LALITPUR,,
S0106,Nakhu Stop,27.669015,85.305941,Lalitpur,LALITPUR,,
S0141,Tyogal,27.668631,85.329848,Lalitpur,LALITPUR,,
S0313,Balkot Mod,27.668512,85.360124,Madhyapur Thimi,BHAKTAPUR,,
S0367,Prayag Pokhari / Patan College,27.668440,85.325049,Lalitpur,LALITPUR,,
S0155,Patan Hospital,27.668489,85.321642,Lalitpur,LALITPUR,,
S0365,Ratamakai Chowk,27.668,85.3362,Lalitpur,LALITPUR,,
S0223,Lalitpur Industrial Estate,27.661481,85.323858,Lalitpur,LALITPUR,,
S0368,Patan Hospital Dobato,27.6672,85.3235,Lalitpur,LALITPUR,,
S0229,Chundevi Bus Stop (Chunudevi),27.667019,85.417215,Bhaktapur,BHAKTAPUR,,
S0112,Lagankhel Stop,27.663461,85.324255,Lalitpur,LALITPUR,,
S0214,Ekantakuna,27.666739,85.307953,Lalitpur,LALITPUR,,
S0178,Adarsha,27.666463,85.433093,Bhaktapur,BHAKTAPUR,,
S0190,Jagati,27.666463,85.436463,Bhaktapur,BHAKTAPUR,,
S0314,Balkot Chowk,27.666418,85.36215,Mahalaxmi,LALITPUR,,
S0019,Barahi Movies,27.666079,85.421512,Suryabinayak,BHAKTAPUR,,
S0274,"Kamalpokhari (Lamatar-area, distinct from central Kathmandu Kamalpokhari)",27.661463,85.342890,Lalitpur,LALITPUR,,
S0089,Suryabinayek,27.665775,85.424184,Suryabinayak,BHAKTAPUR,,
S0011,Satdobato Chowk Stop,27.658710,85.324695,Lalitpur,LALITPUR,,
S0364,Imadol Krishna Mandir,27.6655,85.3388,Lalitpur,LALITPUR,,
S0048,Bhatkepati,27.665215,85.254394,Chandragiri,KATHMANDU,,
S0352,Mahalaxmisthan,27.661190,85.318279,Lalitpur,LALITPUR,,
S0262,Rata Makai Chowk,27.663075,85.339812,Mahalaxmi,LALITPUR,,
S0194,Batuk Bhairav,27.664573,85.323998,Lalitpur,LALITPUR,,
S0182,B & B Hospital/KCM Stop,27.664135,85.330178,Lalitpur,LALITPUR,,
S0258,Nakkhu (bus stop),27.668877,85.306059,Lalitpur,LALITPUR,,
S0256,Imadol Krishna Mandir Road,27.662662,85.340574,Mahalaxmi,LALITPUR,,
S0257,KIST Medical College Teaching Hospital,27.665857,85.333847,Lalitpur,LALITPUR,,
S0219,Lagankhel,27.667036,85.322635,Lalitpur,LALITPUR,,
S0363,Siddhipur / Tikathali Dobato,27.659539,85.343935,Lalitpur,LALITPUR,,
S0315,Gamcha Bus Stop,27.659812,85.365318,Mahalaxmi,LALITPUR,,
S0362,Sanagaun Chowk,27.658101,85.347054,Lalitpur,LALITPUR,,
S0248,Chapagaun Dobato,27.657968,85.322201,Lalitpur,LALITPUR,,
S0101,MAV School,27.657068,85.326288,Lalitpur,LALITPUR,,
S0316,Biruwa / Dadhikot Mod,27.656214,85.367102,Mahalaxmi,LALITPUR,,
S0138,Khumaltar Stop,27.653031,85.325565,Lalitpur,LALITPUR,,
S0361,Dungin / School Chowk,27.650794,85.355820,Lalitpur,LALITPUR,,
S0317,Dadhikot Health Post,27.653102,85.368845,Mahalaxmi,LALITPUR,,
S0247,Bhaisepati,27.6525418,85.3048668,Lalitpur,LALITPUR,,
S0254,Hattiban,27.648182,85.335360,Lalitpur,LALITPUR,,
S0264,Sana Gaun Bus Stop,27.649786,85.3589255,Mahalaxmi,LALITPUR,,
S0360,Lubhu Bus Park,27.649244,85.362031,Lalitpur,LALITPUR,,
S0104,Lubhu Bus Stop,27.642901,85.373398,Mahalaxmi,LALITPUR,,
S0117,Sanga,27.641822,85.477619,Suryabinayak,BHAKTAPUR,,
S0250,Dholahiti,27.640256,85.318491,Lalitpur,LALITPUR,,
S0244,Sunakothi,27.632025,85.317808,Lalitpur,LALITPUR,,
S0253,Harisiddhi,27.637584,85.341604,Lalitpur,LALITPUR,,
S0179,Khokana,27.640065,85.304953,Lalitpur,LALITPUR,,
S0273,Dungin,27.634312,85.384036,Mahalaxmi,LALITPUR,,
S0160,Bansdol,27.632201,85.494012,Banepa,KAVREPALANCHOK,,
S0153,Poolbazar Bus Stop (Pulbazar),27.631984,85.515293,Kavrepalanchok,KAVREPALANCHOK,,
S0121,Banepa Tindobato,27.631218,85.51877,Banepa,KAVREPALANCHOK,,
S0136,Banepa,27.630047,85.523985,Banepa,KAVREPALANCHOK,,
S0129,Bungmati,27.631159,85.305748,Lalitpur,LALITPUR,,
S0032,Dhapakhel Stop,27.636147,85.328274,Lalitpur,LALITPUR,,
S0200,Lamatar,27.628007,85.395369,Mahalaxmi,LALITPUR,,
S0001,KU Bus Stand (26 Kilo),27.625178,85.540892,Dhulikhel,KAVREPALANCHOK,,
S0242,Bungamati,27.629403,85.306262,Lalitpur,LALITPUR,,
S0183,Dhulikhel Stop,27.618445,85.554036,Dhulikhel,KAVREPALANCHOK,,
S0245,Badegaun,27.617203,85.353137,Godawari,LALITPUR,,
S0216,Thecho,27.6153,85.319176,Godawari,LALITPUR,,
S0272,Handegaun,27.614959,85.355723,Godawari,LALITPUR,,
S0173,Dakshinkali,27.613062,85.264669,Dakshinkali,KATHMANDU,,
S0267,Taukhel,27.6117622,85.357324,Godawari,LALITPUR,,
S0261,Pyangaun,27.598924,85.323959,Godawari,LALITPUR,,
S0239,Godawari,27.597,85.3798,Godawari,LALITPUR,,
S0060,Chapagaun,27.597550,85.323858,Godawari,LALITPUR,,
S0208,Panauti,27.587136,85.513334,Panauti,KAVREPALANCHOK,,
S0279,Takhal,27.586464,85.319663,Godawari,LALITPUR,,
S0269,Tikabhairab Temple,27.575979,85.313650,Godawari,LALITPUR,,
S0243,Lele,27.568358,85.340831,Godawari,LALITPUR,,
S_386,lauda lassan stop,27.684471,85.179087,,,,
S_387,thapathali1,27.690811,85.317464,,,,
S_388,pragati chowk,27.653920,85.321637,,,,
S_389,narayanhiti marga,27.713413,85.318762,,,,
S_390,narayanhiti north gate stop,27.717411,85.324469,,,,
S_391,lainchaur chowk,27.716742,85.316015,,,,
S_392,gwarko,27.666297,85.331905,,,,
S_393,Balkhu (TU Office),27.684844,85.296521,,,,
