stop_id,stop_name,lat,lng,zone,district,verified,note
S0144,Shivapuri Park Stop,27.791067,85.37041,Budhanilakantha,KATHMANDU,,
S0249,Chapali Bhadrakali,27.767624,85.355739,Budhanilakantha,KATHMANDU,,
S0143,Budhanilkantha School Blue Micro Stand,27.778969,85.358998,Budhanilakantha,KATHMANDU,,
S0176,Budhanilkantha Stop,27.776743,85.36214,Budhanilakantha,KATHMANDU,,
S0096,Budhanilkantha Micro Stand,27.776732,85.362144,Budhanilakantha,KATHMANDU,,
S0038,Deuba Chowk stop,27.773756,85.36033,Budhanilakantha,KATHMANDU,,
S0040,Sundarijal,27.757565,85.419394,Gokarneshwor,KATHMANDU,,
S0255,Hattigauda,27.755747,85.348760,Budhanilakantha,KATHMANDU,,
S0231,Golfutar stop,27.75144,85.345969,Budhanilakantha,KATHMANDU,,
S0260,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS),27.748678,85.345396,Kathmandu,KATHMANDU,,
S0238,Gangalal Hospital (Shahid Gangalal National Heart Centre),27.746604,85.343390,Kathmandu,KATHMANDU,,
S0158,Bansbari stop,27.745758,85.342373,Kathmandu,KATHMANDU,,
S0140,Gokarna Bus Stop,27.740306,85.39072,Gokarneshwor,KATHMANDU,,
S0044,Narayan Gopal Chowk,27.740009,85.337114,Kathmandu,KATHMANDU,,
S0030,Chakrapath Stop-- South,27.739835,85.336915,Kathmandu,KATHMANDU,,
S0065,Basundhara,27.742169,85.332613,Tokha,KATHMANDU,,
S0072,Mandikhatar Stop,27.736293,85.347685,Kathmandu,KATHMANDU,,
S0337,Maharajgunj Chowk,27.733025,85.328885,Kathmandu,KATHMANDU,,
S0169,Gongabu Chowk,27.734978,85.314447,Tokha,KATHMANDU,,
S0109,Chapal Karkhana stop,27.734943,85.342296,Kathmandu,KATHMANDU,,
S0125,Attarkhel,27.734521,85.382529,Gokarneshwor,KATHMANDU,,
S0124,Teaching Hospital stop,27.735052,85.331411,Kathmandu,KATHMANDU,,
S0268,Nepal Telecom (Budhanilkantha),27.753749,85.347521,Budhanilakantha,KATHMANDU,,
S0187,Samakhusi Stop,27.734896,85.312185,Tokha,KATHMANDU,,
S0252,Gongabu Bus Park,27.7331364,85.3083967,Kathmandu,KATHMANDU,,
S0118,Dhumbarahi,27.731787,85.344365,Kathmandu,KATHMANDU,,
S0082,Panipokhari stop,27.730686,85.325986,Kathmandu,KATHMANDU,,
S0354,Chappal Karkhana,27.734970,85.342269,Kathmandu,KATHMANDU,,
S0174,Naya Bus Park,27.735317,85.305812,Kathmandu,KATHMANDU,,
S0371,Bramhakhel,27.7299,85.4279,Kageshwori Manahara,KATHMANDU,,
S0370,Danchhi,27.72989,85.41778,Kageshwori Manahara,KATHMANDU,,
S0002,Kapan Stop,27.729559,85.354317,Budhanilakantha,KATHMANDU,,
S0349,Macchapokhari,27.729789,85.305405,Kathmandu,KATHMANDU,,
S0146,Sakhu Stop,27.727684,85.461668,Shankharapur,KATHMANDU,,
S0113,Balaju,27.727059,85.304621,Kathmandu,KATHMANDU,,
S0078,Saat Tale Chowk,27.726959,85.350484,Budhanilakantha,KATHMANDU,,
S0369,Thali,27.72694,85.40417,Kageshwori Manahara,KATHMANDU,,
S0177,Balaju Chowk Bus Stop,27.727033,85.304605,Kathmandu,KATHMANDU,,
S0212,Banasthali,27.72483,85.297605,Kathmandu,KATHMANDU,,
S0344,Narayantar,27.724563,85.379906,Kathmandu,KATHMANDU,,
S0217,Sukedhara Stop,27.724877,85.344817,Kathmandu,KATHMANDU,,
S0068,Baluwatar,27.724402,85.330977,Kathmandu,KATHMANDU,,
S0228,Dhungedhara,27.72341,85.294675,Nagarjun,KATHMANDU,,
S0149,Lazimpat stop,27.722523,85.320924,Kathmandu,KATHMANDU,,
S0351,Maligaun,27.722090,85.331326,Kathmandu,KATHMANDU,,
S0093,Bishalnagar Stop,27.721954,85.335587,Kathmandu,KATHMANDU,,
S0135,Jorpati,27.721738,85.372653,Kathmandu,KATHMANDU,,
S0026,Boudha,27.720646,85.361758,Kathmandu,KATHMANDU,,
S0134,Gopi Krishna Stop,27.720629,85.346099,Kathmandu,KATHMANDU,,
S0353,Sano Bharyang,27.721554,85.290813,Kathmandu,KATHMANDU,,
S0162,Thulo Bharang Stop,27.719748,85.287051,Nagarjun,KATHMANDU,,
S0172,Hyatt Regency,27.719359,85.354114,Kathmandu,KATHMANDU,,
S0105,Bhatbhatini Stop,27.719211,85.331082,Kathmandu,KATHMANDU,,
S0355,Gopikrishna,27.722061,85.345525,Kathmandu,KATHMANDU,,
S0079,Sorhakhutte,27.718841,85.309600,Kathmandu,KATHMANDU,,
S0087,Lainchaur stop,27.718551,85.317539,Kathmandu,KATHMANDU,,
S0039,Nagarkot,27.718471,85.519066,Changunarayan,BHAKTAPUR,,
S0003,Shobhabhagwati,27.718100,85.312185,Kathmandu,KATHMANDU,,
S0188,Gairidhara,27.717774,85.327892,Kathmandu,KATHMANDU,,
S0207,ASCOL Stop,27.717307,85.314760,Kathmandu,KATHMANDU,,
S0051,Tangal,27.717246,85.330430,Kathmandu,KATHMANDU,,
S0241,"President's Residence (Sheetal Niwas, Maharajgunj)",27.71716,85.31648,Kathmandu,KATHMANDU,,
S0193,Lainchour Chowk Bus Stop,27.716970,85.315924,Kathmandu,KATHMANDU,,
S0195,Chabahil चाबाहील,27.717117,85.346641,Kathmandu,KATHMANDU,,
S0197,Police Headquarter Stop,27.718263,85.330762,Kathmandu,KATHMANDU,,
S0350,Jayabageshwori,27.710091,85.344082,Kathmandu,KATHMANDU,,
S0224,Changu Narayan,27.716321,85.43078,Changunarayan,BHAKTAPUR,,
S0342,Thamel,27.7154,85.3123,Kathmandu,KATHMANDU,,
S0347,Tilganga,27.7145,85.3495,Kathmandu,KATHMANDU,,
S0356,Naya Bazar (Thamel),27.7135,85.3095,Kathmandu,KATHMANDU,,
S0357,Chhetrapati,27.7128,85.309,Kathmandu,KATHMANDU,,
S0123,Naxal Bhagwati,27.714439,85.329410,Kathmandu,KATHMANDU,,
S0211,Swayambhu Parikarma,27.713081,85.283164,Kathmandu,KATHMANDU,,
S0341,Durbar Marg,27.712,85.317,Kathmandu,KATHMANDU,,
S0052,JayaBageshwari Stop,27.710081,85.344093,Kathmandu,KATHMANDU,,
S0338,Kamalpokhari,27.7107,85.3252,Kathmandu,KATHMANDU,,
S0094,Krishna Pauroti Stop,27.710274,85.322168,Kathmandu,KATHMANDU,,
S0210,Ciy Center Stop,27.709819,85.326984,Kathmandu,KATHMANDU,,
S0339,Hattisar,27.7095,85.3238,Kathmandu,KATHMANDU,,
S0166,Kantipath,27.709049,85.314615,Kathmandu,KATHMANDU,,
S0152,Jamal,27.709495,85.314664,Kathmandu,KATHMANDU,,
S0083,Gyaneshwor Chowk,27.708987,85.330220,Kathmandu,KATHMANDU,,
S0090,Sitapaila Stop,27.707676,85.282536,Nagarjun,KATHMANDU,,
S0045,Ratopul,27.708117,85.336428,Kathmandu,KATHMANDU,,
S0137,Ghantaghar (घण्टाघर) stop,27.708032,85.316783,Kathmandu,KATHMANDU,,
S0042,Kamaladi Road (कमलादी) stop,27.707997,85.321282,Kathmandu,KATHMANDU,,
S0204,Gaushala Chowk Stop,27.707725,85.343299,Kathmandu,KATHMANDU,,
S0236,"NAC (Nepal Airlines Corporation, Kantipath)",27.703019,85.313650,Kathmandu,KATHMANDU,,
S0013,Ratna Park,27.706599,85.315270,Kathmandu,KATHMANDU,,
S0010,Thankot,27.706627,85.20574,Chandragiri,KATHMANDU,,
S0126,Maitidevi Temple stop,27.706412,85.333733,Kathmandu,KATHMANDU,,
S0031,Bagbazar Stop,27.705629,85.322828,Kathmandu,KATHMANDU,,
S0071,पिङ्गलस्थान,27.70581,85.347131,Kathmandu,KATHMANDU,,
S0171,Bir Hospital,27.705723,85.314074,Kathmandu,KATHMANDU,,
S0005,Putalisadak Stop,27.708010,85.321841,Kathmandu,KATHMANDU,,
S0055,Dillibazaar stop,27.705368,85.327157,Kathmandu,KATHMANDU,,
S0348,Battisputali,27.704,85.335,Kathmandu,KATHMANDU,,
S0035,Maiti Devi chowk,27.703919,85.332651,Kathmandu,KATHMANDU,,
S0198,Ratnapark(purano bus park),27.703653,85.316359,Kathmandu,KATHMANDU,,
S0120,Gothatar,27.703133,85.369443,Kathmandu,KATHMANDU,,
S0086,Tourism Board Stop,27.702319,85.316675,Kathmandu,KATHMANDU,,
S0100,RNAC stop,27.70221,85.313638,Kathmandu,KATHMANDU,,
S0246,Bafal,27.7021638,85.2780949,Nagarjun,KATHMANDU,,
S0066,Bhrikuti Mandap Stop,27.701597,85.322313,Kathmandu,KATHMANDU,,
S0374,Gothatar Height/Tarigaon,27.701787,85.366897,Kathmandu,KATHMANDU,,
