stop_id,stop_name,congestion_loss,congestion_score
S0003,Shobhabhagwati,0.0,0.0
S0004,Kaushaltar,206130.0,0.0663
S0005,Putalisadak Stop,0.0,0.0
S0006,KattyaniChowk Stop,0.0,0.0
S0008,Sataungal,0.0,0.0
S0010,Thankot,0.0,0.0
S0013,Ratna Park,115930.0,0.0373
S0014,Sallaghari North,58170.0,0.0187
S0015,Hanumanthan Stop,0.0,0.0
S0016,Bhimsengola stop,0.0,0.0
S0017,Tinkune Stop,180961.0,0.0582
S0020,Gwarko Chowk Stop,1136024.0,0.3652
S0022,Lokanthali North,276299.0,0.0888
S0023,Kalimati,773210.0,0.2486
S0024,Balkumari Stop,0.0,0.0
S0025,Kamal Binayak,0.0,0.0
S0026,Boudha,0.0,0.0
S0027,KMC stop,0.0,0.0
S0002,Kapan Stop,0.0,0.0
S0030,Chakrapath Stop-- South,0.0,0.0
S0011,Satdobato Chowk Stop,0.0,0.0
S0031,Bagbazar Stop,0.0,0.0
S0032,Dhapakhel Stop,0.0,0.0
S0033,Bijulibazar Stop,0.0,0.0
S0035,Maiti Devi chowk,49172.0,0.0158
S0036,Singha Durbar West Stop,603093.0,0.1939
S0038,Deuba Chowk stop,0.0,0.0
S0039,Nagarkot,0.0,0.0
S0040,Sundarijal,0.0,0.0
S0042,Kamaladi Road (कमलादी) stop,380136.0,0.1222
S0043,TU Gate,0.0,0.0
S0044,Narayan Gopal Chowk,0.0,0.0
S0045,Ratopul,0.0,0.0
S0046,Tempo Stop Near Old Baneshwar,0.0,0.0
S0049,Naya Bato,0.0,0.0
S0050,Mahalaxmi Stop,0.0,0.0
S0051,Tangal,0.0,0.0
S0052,JayaBageshwari Stop,0.0,0.0
S0054,Nikap,0.0,0.0
S0055,Dillibazaar stop,468697.0,0.1507
S0056,Tripureshwor,3110274.0,1.0
S0034,Buddhanagar Stop,0.0,0.0
S0053,Gairigaun Stop,0.0,0.0
S0058,Natole,0.0,0.0
S0059,SchEMS,0.0,0.0
S0065,Basundhara,0.0,0.0
S0066,Bhrikuti Mandap Stop,91179.0,0.0293
S0068,Baluwatar,0.0,0.0
S0070,Airport Bus Station,335611.0,0.1079
S0071,पिङ्गलस्थान,0.0,0.0
S0073,Chobhar Gate,0.0,0.0
S0075,New Baneshwor West,0.0,0.0
S0076,Sundhara Stop,939723.0,0.3021
S0077,Apex College Stop,0.0,0.0
S0078,Saat Tale Chowk,0.0,0.0
S0082,Panipokhari stop,0.0,0.0
S0083,Gyaneshwor Chowk,53555.0,0.0172
S0084,Panga Dobato,0.0,0.0
S0086,Tourism Board Stop,0.0,0.0
S0087,Lainchaur stop,419943.0,0.135
S0088,Bhadrakali,145158.0,0.0467
S0089,Suryabinayek,0.0,0.0
S0090,Sitapaila Stop,0.0,0.0
S0069,Naya Baneshwor Tampoo Station,0.0,0.0
S0062,Babarmahal Stop East,0.0,0.0
